,Statecode,SSIchildrenpending
0,AK,1049.0
1,AL,0.0
2,AR,0.0
3,AZ,0.0
4,CA,0.0
5,CO,1950.0
6,CT,10368.0
7,DC,5068.0
8,DE,5434.0
9,EA,2301.0
10,EM,0.0
11,EO,1.0
12,EV,144.0
13,FE,0.0
14,FL,0.0
15,GA,0.0
16,HI,2637.0
17,IA,7056.0
18,ID,1983.0
19,IL,0.0
20,IN,0.0
21,KS,6245.0
22,KY,0.0
23,LA,0.0
24,MA,0.0
25,MD,0.0
26,ME,3792.0
27,MI,0.0
28,MN,7609.0
29,MO,2881.0
30,MS,0.0
31,MT,2641.0
32,NC,0.0
33,ND,904.0
34,NE,5875.0
35,NH,1729.0
36,NJ,0.0
37,NM,6067.0
38,NV,8135.0
39,NY,0.0
40,OH,0.0
41,OK,0.0
42,OR,6077.0
43,PA,0.0
44,PR,0.0
45,RI,3338.0
46,SC,0.0
47,SD,2264.0
48,TN,0.0
49,TX,0.0
50,UT,8748.0
51,VA,0.0
52,VT,797.0
53,WA,0.0
54,WI,0.0
55,WV,984.0
56,WY,1115.0
